ID;PLZ;RegSchl;Ort;Stand;Sortierung;Art
124428;"40699";"05158004";"Erkrath";"09.04.2020";null;6
124441;"40721";"05111000";"Düsseldorf";"09.04.2020";null;6
124442;"40721";"05158016";"Hilden";"09.04.2020";null;6
124443;"40723";"05158016";"Hilden";"09.04.2020";null;6
124444;"40724";"05158016";"Hilden";"09.04.2020";null;6
124456;"40764";"05158020";"Langenfeld (Rheinland)";"09.04.2020";null;6
124470;"40789";"05158026";"Monheim am Rhein";"09.04.2020";null;6
124483;"40822";"05158024";"Mettmann";"09.04.2020";null;6
124512;"40878";"05158028";"Ratingen";"09.04.2020";null;6
124513;"40880";"05158028";"Ratingen";"09.04.2020";null;6
124514;"40882";"05158028";"Ratingen";"09.04.2020";null;6
124515;"40883";"05158028";"Ratingen";"09.04.2020";null;6
124516;"40885";"05158028";"Ratingen";"09.04.2020";null;6
124544;"41061";"05116000";"Mönchengladbach";"09.04.2020";null;6
124545;"41063";"05116000";"Mönchengladbach";"09.04.2020";null;6
124546;"41065";"05116000";"Mönchengladbach";"09.04.2020";null;6
124547;"41066";"05116000";"Mönchengladbach";"09.04.2020";null;6
124548;"41068";"05116000";"Mönchengladbach";"09.04.2020";null;6
124549;"41069";"05116000";"Mönchengladbach";"09.04.2020";null;6
124553;"41169";"05116000";"Mönchengladbach";"09.04.2020";null;6
124556;"41179";"05116000";"Mönchengladbach";"09.04.2020";null;6
124560;"41189";"05116000";"Mönchengladbach";"09.04.2020";null;6
124565;"41199";"05116000";"Mönchengladbach";"09.04.2020";null;6
124584;"41236";"05116000";"Mönchengladbach";"09.04.2020";null;6
124585;"41238";"05116000";"Mönchengladbach";"09.04.2020";null;6
124586;"41239";"05116000";"Mönchengladbach";"09.04.2020";null;6
124605;"41334";"05166016";"Nettetal";"09.04.2020";null;6
124614;"41352";"05162020";"Korschenbroich";"09.04.2020";null;6
124620;"41363";"05162012";"Jüchen";"09.04.2020";null;6
124622;"41366";"05166024";"Schwalmtal";"09.04.2020";null;6
124626;"41372";"05166020";"Niederkrüchten";"09.04.2020";null;6
124630;"41379";"05166004";"Brüggen";"09.04.2020";null;6
124667;"41460";"05162024";"Neuss";"09.04.2020";null;6
124668;"41462";"05162024";"Neuss";"09.04.2020";null;6
124669;"41464";"05162024";"Neuss";"09.04.2020";null;6
124670;"41466";"05162024";"Neuss";"09.04.2020";null;6
124671;"41468";"05162024";"Neuss";"09.04.2020";null;6
124672;"41469";"05162024";"Neuss";"09.04.2020";null;6
124673;"41470";"05162024";"Neuss";"09.04.2020";null;6
124674;"41472";"05162024";"Neuss";"09.04.2020";null;6
124690;"41515";"05162008";"Grevenbroich";"09.04.2020";null;6
124691;"41516";"05162008";"Grevenbroich";"09.04.2020";null;6
124692;"41517";"05162008";"Grevenbroich";"09.04.2020";null;6
124707;"41539";"05162004";"Dormagen";"09.04.2020";null;6
124708;"41540";"05162004";"Dormagen";"09.04.2020";null;6
124709;"41541";"05162004";"Dormagen";"09.04.2020";null;6
124710;"41542";"05162004";"Dormagen";"09.04.2020";null;6
124721;"41564";"05162016";"Kaarst";"09.04.2020";null;6
124724;"41569";"05162028";"Rommerskirchen";"09.04.2020";null;6
124749;"41747";"05166032";"Viersen";"09.04.2020";null;6
124750;"41748";"05166032";"Viersen";"09.04.2020";null;6
124751;"41749";"05166032";"Viersen";"09.04.2020";null;6
124752;"41751";"05166032";"Viersen";"09.04.2020";null;6
124759;"41812";"05370004";"Erkelenz";"09.04.2020";null;6
124767;"41836";"05370020";"Hückelhoven";"09.04.2020";null;6
124772;"41844";"05370040";"Wegberg";"09.04.2020";null;6
124773;"41849";"05370036";"Wassenberg";"09.04.2020";null;6
124827;"42103";"05124000";"Wuppertal";"09.04.2020";null;6
124828;"42105";"05124000";"Wuppertal";"09.04.2020";null;6
124829;"42107";"05124000";"Wuppertal";"09.04.2020";null;6
124830;"42109";"05124000";"Wuppertal";"09.04.2020";null;6
124831;"42111";"05124000";"Wuppertal";"09.04.2020";null;6
124832;"42113";"05124000";"Wuppertal";"09.04.2020";null;6
124833;"42115";"05124000";"Wuppertal";"09.04.2020";null;6
124834;"42117";"05124000";"Wuppertal";"09.04.2020";null;6
124835;"42119";"05124000";"Wuppertal";"09.04.2020";null;6
124877;"42275";"05124000";"Wuppertal";"09.04.2020";null;6
124878;"42277";"05124000";"Wuppertal";"09.04.2020";null;6
124879;"42279";"05124000";"Wuppertal";"09.04.2020";null;6
124880;"42281";"05124000";"Wuppertal";"09.04.2020";null;6
124881;"42283";"05124000";"Wuppertal";"09.04.2020";null;6
124882;"42285";"05124000";"Wuppertal";"09.04.2020";null;6
124883;"42287";"05124000";"Wuppertal";"09.04.2020";null;6
124884;"42289";"05124000";"Wuppertal";"09.04.2020";null;6
124894;"42327";"05124000";"Wuppertal";"09.04.2020";null;6
124895;"42329";"05124000";"Wuppertal";"09.04.2020";null;6
124906;"42349";"05124000";"Wuppertal";"09.04.2020";null;6
124915;"42369";"05124000";"Wuppertal";"09.04.2020";null;6
124921;"42389";"05124000";"Wuppertal";"09.04.2020";null;6
124922;"42399";"05124000";"Wuppertal";"09.04.2020";null;6
124936;"42477";"05374036";"Radevormwald";"09.04.2020";null;6
124942;"42489";"05158036";"Wülfrath";"09.04.2020";null;6
124947;"42499";"05374016";"Hückeswagen";"09.04.2020";null;6
124974;"42549";"05158032";"Velbert";"09.04.2020";null;6
124975;"42551";"05158032";"Velbert";"09.04.2020";null;6
124976;"42553";"05158032";"Velbert";"09.04.2020";null;6
124977;"42555";"05158032";"Velbert";"09.04.2020";null;6
124988;"42579";"05158012";"Heiligenhaus";"09.04.2020";null;6
125016;"42651";"05122000";"Solingen";"09.04.2020";null;6
125017;"42653";"05122000";"Solingen";"09.04.2020";null;6
125018;"42655";"05122000";"Solingen";"09.04.2020";null;6
125019;"42657";"05122000";"Solingen";"09.04.2020";null;6
125020;"42659";"05122000";"Solingen";"09.04.2020";null;6
125033;"42697";"05122000";"Solingen";"09.04.2020";null;6
125034;"42699";"05122000";"Solingen";"09.04.2020";null;6
125043;"42719";"05122000";"Solingen";"09.04.2020";null;6
125056;"42781";"05158008";"Haan";"09.04.2020";null;6
125064;"42799";"05378016";"Leichlingen (Rheinland)";"09.04.2020";null;6
125091;"42853";"05120000";"Remscheid";"09.04.2020";null;6
125092;"42855";"05120000";"Remscheid";"09.04.2020";null;6
125093;"42857";"05120000";"Remscheid";"09.04.2020";null;6
125094;"42859";"05120000";"Remscheid";"09.04.2020";null;6
125109;"42897";"05120000";"Remscheid";"09.04.2020";null;6
125110;"42899";"05120000";"Remscheid";"09.04.2020";null;6
125121;"42929";"05378032";"Wermelskirchen";"09.04.2020";null;6
125211;"44135";"05913000";"Dortmund";"09.04.2020";null;6
125212;"44137";"05913000";"Dortmund";"09.04.2020";null;6
125213;"44139";"05913000";"Dortmund";"09.04.2020";null;6
125214;"44141";"05913000";"Dortmund";"09.04.2020";null;6
125215;"44143";"05913000";"Dortmund";"09.04.2020";null;6
125216;"44145";"05913000";"Dortmund";"09.04.2020";null;6
125217;"44147";"05913000";"Dortmund";"09.04.2020";null;6
125218;"44149";"05913000";"Dortmund";"09.04.2020";null;6
125230;"44225";"05913000";"Dortmund";"09.04.2020";null;6
125231;"44227";"05913000";"Dortmund";"09.04.2020";null;6
125232;"44229";"05913000";"Dortmund";"09.04.2020";null;6
125244;"44263";"05913000";"Dortmund";"09.04.2020";null;6
125245;"44265";"05913000";"Dortmund";"09.04.2020";null;6
125246;"44267";"05913000";"Dortmund";"09.04.2020";null;6
125247;"44269";"05913000";"Dortmund";"09.04.2020";null;6
125256;"44287";"05913000";"Dortmund";"09.04.2020";null;6
125257;"44289";"05913000";"Dortmund";"09.04.2020";null;6
125262;"44309";"05913000";"Dortmund";"09.04.2020";null;6
125267;"44319";"05913000";"Dortmund";"09.04.2020";null;6
125271;"44328";"05913000";"Dortmund";"09.04.2020";null;6
125272;"44329";"05913000";"Dortmund";"09.04.2020";null;6
125276;"44339";"05913000";"Dortmund";"09.04.2020";null;6
125281;"44357";"05913000";"Dortmund";"09.04.2020";null;6
125282;"44359";"05913000";"Dortmund";"09.04.2020";null;6
125285;"44369";"05913000";"Dortmund";"09.04.2020";null;6
125289;"44379";"05913000";"Dortmund";"09.04.2020";null;6
125294;"44388";"05913000";"Dortmund";"09.04.2020";null;6
125320;"44532";"05978024";"Lünen";"09.04.2020";null;6
125321;"44534";"05978024";"Lünen";"09.04.2020";null;6
125322;"44536";"05978024";"Lünen";"09.04.2020";null;6
125339;"44575";"05562004";"Castrop-Rauxel";"09.04.2020";null;6
125340;"44577";"05562004";"Castrop-Rauxel";"09.04.2020";null;6
125341;"44579";"05562004";"Castrop-Rauxel";"09.04.2020";null;6
125342;"44581";"05562004";"Castrop-Rauxel";"09.04.2020";null;6
125353;"44623";"05916000";"Herne";"09.04.2020";null;6
125354;"44625";"05916000";"Herne";"09.04.2020";null;6
125355;"44627";"05916000";"Herne";"09.04.2020";null;6
125356;"44628";"05916000";"Herne";"09.04.2020";null;6
125357;"44629";"05916000";"Herne";"09.04.2020";null;6
125368;"44649";"05916000";"Herne";"09.04.2020";null;6
125369;"44651";"05916000";"Herne";"09.04.2020";null;6
125370;"44652";"05916000";"Herne";"09.04.2020";null;6
125371;"44653";"05916000";"Herne";"09.04.2020";null;6
125427;"44787";"05911000";"Bochum";"09.04.2020";null;6
125428;"44789";"05911000";"Bochum";"09.04.2020";null;6
125429;"44791";"05911000";"Bochum";"09.04.2020";null;6
125430;"44793";"05911000";"Bochum";"09.04.2020";null;6
125431;"44795";"05911000";"Bochum";"09.04.2020";null;6
125432;"44797";"05911000";"Bochum";"09.04.2020";null;6
125433;"44799";"05911000";"Bochum";"09.04.2020";null;6
125434;"44801";"05911000";"Bochum";"09.04.2020";null;6
125435;"44803";"05911000";"Bochum";"09.04.2020";null;6
125436;"44805";"05911000";"Bochum";"09.04.2020";null;6
125437;"44807";"05911000";"Bochum";"09.04.2020";null;6
125438;"44809";"05911000";"Bochum";"09.04.2020";null;6
125451;"44866";"05911000";"Bochum";"09.04.2020";null;6
125452;"44867";"05911000";"Bochum";"09.04.2020";null;6
125453;"44869";"05911000";"Bochum";"09.04.2020";null;6
125459;"44879";"05911000";"Bochum";"09.04.2020";null;6
125465;"44892";"05911000";"Bochum";"09.04.2020";null;6
125466;"44894";"05911000";"Bochum";"09.04.2020";null;6
125569;"45127";"05113000";"Essen";"09.04.2020";null;6
125570;"45128";"05113000";"Essen";"09.04.2020";null;6
125571;"45130";"05113000";"Essen";"09.04.2020";null;6
125572;"45131";"05113000";"Essen";"09.04.2020";null;6
125573;"45133";"05113000";"Essen";"09.04.2020";null;6
125574;"45134";"05113000";"Essen";"09.04.2020";null;6
125575;"45136";"05113000";"Essen";"09.04.2020";null;6
125576;"45138";"05113000";"Essen";"09.04.2020";null;6
125577;"45139";"05113000";"Essen";"09.04.2020";null;6
125578;"45141";"05113000";"Essen";"09.04.2020";null;6
125579;"45143";"05113000";"Essen";"09.04.2020";null;6
125580;"45144";"05113000";"Essen";"09.04.2020";null;6
125581;"45145";"05113000";"Essen";"09.04.2020";null;6
125582;"45147";"05113000";"Essen";"09.04.2020";null;6
125583;"45149";"05113000";"Essen";"09.04.2020";null;6
125593;"45219";"05113000";"Essen";"09.04.2020";null;6
125599;"45239";"05113000";"Essen";"09.04.2020";null;6
125605;"45257";"05113000";"Essen";"09.04.2020";null;6
125606;"45259";"05113000";"Essen";"09.04.2020";null;6
125613;"45276";"05113000";"Essen";"09.04.2020";null;6
125614;"45277";"05113000";"Essen";"09.04.2020";null;6
125615;"45279";"05113000";"Essen";"09.04.2020";null;6
125618;"45289";"05113000";"Essen";"09.04.2020";null;6
125624;"45307";"05113000";"Essen";"09.04.2020";null;6
125625;"45309";"05113000";"Essen";"09.04.2020";null;6
125632;"45326";"05113000";"Essen";"09.04.2020";null;6
125633;"45327";"05113000";"Essen";"09.04.2020";null;6
125634;"45329";"05113000";"Essen";"09.04.2020";null;6
125645;"45355";"05113000";"Essen";"09.04.2020";null;6
125646;"45356";"05113000";"Essen";"09.04.2020";null;6
125647;"45357";"05113000";"Essen";"09.04.2020";null;6
125648;"45359";"05113000";"Essen";"09.04.2020";null;6
125690;"45468";"05117000";"Mülheim an der Ruhr";"09.04.2020";null;6
125691;"45470";"05117000";"Mülheim an der Ruhr";"09.04.2020";null;6
125692;"45472";"05117000";"Mülheim an der Ruhr";"09.04.2020";null;6
125693;"45473";"05117000";"Mülheim an der Ruhr";"09.04.2020";null;6
125694;"45475";"05117000";"Mülheim an der Ruhr";"09.04.2020";null;6
125695;"45476";"05117000";"Mülheim an der Ruhr";"09.04.2020";null;6
125696;"45478";"05117000";"Mülheim an der Ruhr";"09.04.2020";null;6
125697;"45479";"05117000";"Mülheim an der Ruhr";"09.04.2020";null;6
125698;"45481";"05117000";"Mülheim an der Ruhr";"09.04.2020";null;6
125708;"45525";"05954016";"Hattingen";"09.04.2020";null;6
125709;"45527";"05954016";"Hattingen";"09.04.2020";null;6
125710;"45529";"05954016";"Hattingen";"09.04.2020";null;6
125717;"45549";"05954028";"Sprockhövel";"09.04.2020";null;6
125748;"45657";"05562032";"Recklinghausen";"09.04.2020";null;6
125749;"45659";"05562032";"Recklinghausen";"09.04.2020";null;6
125750;"45661";"05562032";"Recklinghausen";"09.04.2020";null;6
125751;"45663";"05562032";"Recklinghausen";"09.04.2020";null;6
125752;"45665";"05562032";"Recklinghausen";"09.04.2020";null;6
125769;"45699";"05562020";"Herten";"09.04.2020";null;6
125770;"45701";"05562020";"Herten";"09.04.2020";null;6
125775;"45711";"05562008";"Datteln";"09.04.2020";null;6
125782;"45721";"05562016";"Haltern am See";"09.04.2020";null;6
125788;"45731";"05562036";"Waltrop";"09.04.2020";null;6
125792;"45739";"05562028";"Oer-Erkenschwick";"09.04.2020";null;6
125810;"45768";"05562024";"Marl";"09.04.2020";null;6
125811;"45770";"05562024";"Marl";"09.04.2020";null;6
125812;"45772";"05562024";"Marl";"09.04.2020";null;6
125863;"45879";"05513000";"Gelsenkirchen";"09.04.2020";null;6
125864;"45881";"05513000";"Gelsenkirchen";"09.04.2020";null;6
125865;"45883";"05513000";"Gelsenkirchen";"09.04.2020";null;6
125866;"45884";"05513000";"Gelsenkirchen";"09.04.2020";null;6
125867;"45886";"05513000";"Gelsenkirchen";"09.04.2020";null;6
125868;"45888";"05513000";"Gelsenkirchen";"09.04.2020";null;6
125869;"45889";"05513000";"Gelsenkirchen";"09.04.2020";null;6
125870;"45891";"05513000";"Gelsenkirchen";"09.04.2020";null;6
125871;"45892";"05513000";"Gelsenkirchen";"09.04.2020";null;6
125872;"45894";"05513000";"Gelsenkirchen";"09.04.2020";null;6
125873;"45896";"05513000";"Gelsenkirchen";"09.04.2020";null;6
125874;"45897";"05513000";"Gelsenkirchen";"09.04.2020";null;6
125875;"45899";"05513000";"Gelsenkirchen";"09.04.2020";null;6
125884;"45964";"05562014";"Gladbeck";"09.04.2020";null;6
125885;"45966";"05562014";"Gladbeck";"09.04.2020";null;6
125886;"45968";"05562014";"Gladbeck";"09.04.2020";null;6
125911;"46045";"05119000";"Oberhausen";"09.04.2020";null;6
125912;"46047";"05119000";"Oberhausen";"09.04.2020";null;6
125913;"46049";"05119000";"Oberhausen";"09.04.2020";null;6
125918;"46117";"05119000";"Oberhausen";"09.04.2020";null;6
125919;"46119";"05119000";"Oberhausen";"09.04.2020";null;6
125930;"46145";"05119000";"Oberhausen";"09.04.2020";null;6
125931;"46147";"05119000";"Oberhausen";"09.04.2020";null;6
125932;"46149";"05119000";"Oberhausen";"09.04.2020";null;6
125954;"46236";"05512000";"Bottrop";"09.04.2020";null;6
125955;"46238";"05512000";"Bottrop";"09.04.2020";null;6
125956;"46240";"05512000";"Bottrop";"09.04.2020";null;6
