GemKZ;Sortierung;Bezeichnung;geaendert
"05766032";1;"Horn-Bad Meinberg";
"05766036";1;"Kalletal";
"05766040";1;"Lage";
"05766044";1;"Lemgo";
"05766048";1;"Leopoldshöhe";
"05766052";1;"Lügde";
"05766056";1;"Oerlinghausen";
"05766060";1;"Schieder-Schwalenberg";
"05766064";1;"Schlangen";
"05770004";1;"Bad Oeynhausen";
"05770008";1;"Espelkamp";
"05770012";1;"Hille";
"05770016";1;"Hüllhorst";
"05770020";1;"Lübbecke";
"05770024";1;"Minden";
"05770028";1;"Petershagen";
"05770032";1;"Porta Westfalica";
"05770036";1;"Preußisch Oldendorf";
"05770040";1;"Rahden";
"05770044";1;"Stemwede";
"05774004";1;"Altenbeken";
"05774008";1;"Bad Lippspringe";
"05774012";1;"Borchen";
"05774016";1;"Büren";
"05774020";1;"Delbrück";
"05774024";1;"Hövelhof";
"05774028";1;"Lichtenau";
"05774032";1;"Paderborn";
"05774036";1;"Salzkotten";
"05774040";1;"Bad Wünnenberg";
"05911000";1;"Bochum";
"05913000";1;"Dortmund";
"05914000";1;"Hagen";
"05915000";1;"Hamm";
"05916000";1;"Herne";
"05954004";1;"Breckerfeld";
"05954008";1;"Ennepetal";
"05954012";1;"Gevelsberg";
"05954016";1;"Hattingen";
"05954020";1;"Herdecke";
"05954024";1;"Schwelm";
"05954028";1;"Sprockhövel";
"05954032";1;"Wetter";
"05954036";1;"Witten";
"05958004";1;"Arnsberg";
"05958008";1;"Bestwig";
"05958012";1;"Brilon";
"05958016";1;"Eslohe";
"05958020";1;"Hallenberg";
"05958024";1;"Marsberg";
"05958028";1;"Medebach";
"05958032";1;"Meschede";
"05958036";1;"Olsberg";
"05958040";1;"Schmallenberg";
"05958044";1;"Sundern";
"05958048";1;"Winterberg";
"05962004";1;"Altena ";
"05962008";1;"Balve";
"05962012";1;"Halver";
"05962016";1;"Hemer";
"05962020";1;"Herscheid";
"05962024";1;"Iserlohn";
"05962028";1;"Kierspe";
"05962032";1;"Lüdenscheid";
"05962036";1;"Meinerzhagen";
"05962040";1;"Menden";
"05962044";1;"Nachrodt-Wiblingwerde";
"05962048";1;"Neuenrade";
"05962052";1;"Plettenberg";
"05962056";1;"Schalksmühle";
"05962060";1;"Werdohl";
"05966004";1;"Attendorn";
"05966008";1;"Drolshagen";
"05966012";1;"Finnentrop";
"05966016";1;"Kirchhundem";
"05966020";1;"Lennestadt";
"05966024";1;"Olpe";
"05966028";1;"Wenden";
"05970004";1;"Bad Berleburg";
"05970008";1;"Burbach";
"05970012";1;"Erndtebrück";
"05970016";1;"Freudenberg";
"05970020";1;"Hilchenbach";
"05970024";1;"Kreuztal";
"05970028";1;"Bad Laasphe";
"05970032";1;"Netphen";
"05970036";1;"Neunkirchen";
"05970040";1;"Siegen";
"05970044";1;"Wilnsdorf";
"05974004";1;"Anröchte";
"05974008";1;"Bad Sassendorf";
"05974012";1;"Ense";
"05974016";1;"Erwitte";
"05974020";1;"Geseke";
"05974024";1;"Lippetal";
"05974028";1;"Lippstadt";
"05974032";1;"Möhnesee";
"05974036";1;"Rüthen";
"05974040";1;"Soest";
"05974044";1;"Warstein";
"05974048";1;"Welver";
"05974052";1;"Werl";
"05974056";1;"Wickede";
"05978004";1;"Bergkamen";
"05978008";1;"Bönen";
"05978012";1;"Fröndenberg";
"05978016";1;"Holzwickede";
"05978020";1;"Kamen";
"05978024";1;"Lünen";
"05978028";1;"Schwerte";
"05978032";1;"Selm";
"05978036";1;"Unna";
"05978040";1;"Werne";
"01000000";2;"Schleswig-Holstein";
"02000000";2;"Hamburg";
"03000000";2;"Niedersachsen";
"04000000";2;"Bremen";
"06000000";2;"Hessen";
"07000000";2;"Rheinland-Pfalz";
"08000000";2;"Baden-Württemberg";
"09000000";2;"Bayern";
"10000000";2;"Saarland";
"11000000";2;"Berlin";
"12000000";2;"Brandenburg";
"13000000";2;"Mecklenburg-Vorpommern";
"14000000";2;"Sachsen";
"15000000";2;"Sachsen-Anhalt";
"16000000";2;"Thüringen";
"91000000";3;"Belgien";
"92000000";3;"Luxemburg";
"93000000";3;"Niederlande";
"99000000";3;"Übriges Ausland";
