ID;PLZ;REGSCHL;ORT;STAND;Sortierung;ART
136757;"42855";"05120000";"Remscheid";;null;6
136758;"42857";"05120000";"Remscheid";;null;6
136759;"42859";"05120000";"Remscheid";;null;6
136774;"42897";"05120000";"Remscheid";;null;6
136775;"42899";"05120000";"Remscheid";;null;6
136786;"42929";"05378032";"Wermelskirchen";;null;6
136876;"44135";"05913000";"Dortmund";;null;6
136877;"44137";"05913000";"Dortmund";;null;6
136878;"44139";"05913000";"Dortmund";;null;6
136879;"44141";"05913000";"Dortmund";;null;6
136880;"44143";"05913000";"Dortmund";;null;6
136881;"44145";"05913000";"Dortmund";;null;6
136882;"44147";"05913000";"Dortmund";;null;6
136883;"44149";"05913000";"Dortmund";;null;6
136895;"44225";"05913000";"Dortmund";;null;6
136896;"44227";"05913000";"Dortmund";;null;6
136897;"44229";"05913000";"Dortmund";;null;6
136909;"44263";"05913000";"Dortmund";;null;6
136910;"44265";"05913000";"Dortmund";;null;6
136911;"44267";"05913000";"Dortmund";;null;6
136912;"44269";"05913000";"Dortmund";;null;6
136921;"44287";"05913000";"Dortmund";;null;6
136922;"44289";"05913000";"Dortmund";;null;6
136927;"44309";"05913000";"Dortmund";;null;6
136932;"44319";"05913000";"Dortmund";;null;6
136933;"44328";"05913000";"Dortmund";;null;6
136934;"44329";"05913000";"Dortmund";;null;6
136938;"44339";"05913000";"Dortmund";;null;6
136943;"44357";"05913000";"Dortmund";;null;6
136944;"44359";"05913000";"Dortmund";;null;6
136947;"44369";"05913000";"Dortmund";;null;6
136951;"44379";"05913000";"Dortmund";;null;6
136955;"44388";"05913000";"Dortmund";;null;6
136981;"44532";"05978024";"Lünen";;null;6
136982;"44534";"05978024";"Lünen";;null;6
136983;"44536";"05978024";"Lünen";;null;6
137000;"44575";"05562004";"Castrop-Rauxel";;null;6
137001;"44577";"05562004";"Castrop-Rauxel";;null;6
137002;"44579";"05562004";"Castrop-Rauxel";;null;6
137003;"44581";"05562004";"Castrop-Rauxel";;null;6
137014;"44623";"05916000";"Herne";;null;6
137015;"44625";"05916000";"Herne";;null;6
137016;"44627";"05916000";"Herne";;null;6
137017;"44628";"05916000";"Herne";;null;6
137018;"44629";"05916000";"Herne";;null;6
137023;"44649";"05916000";"Herne";;null;6
137024;"44651";"05916000";"Herne";;null;6
137025;"44652";"05916000";"Herne";;null;6
137026;"44653";"05916000";"Herne";;null;6
137082;"44787";"05911000";"Bochum";;null;6
137083;"44789";"05911000";"Bochum";;null;6
137084;"44791";"05911000";"Bochum";;null;6
137085;"44793";"05911000";"Bochum";;null;6
137086;"44795";"05911000";"Bochum";;null;6
137087;"44797";"05911000";"Bochum";;null;6
137088;"44799";"05911000";"Bochum";;null;6
137089;"44801";"05911000";"Bochum";;null;6
137090;"44803";"05911000";"Bochum";;null;6
137091;"44805";"05911000";"Bochum";;null;6
137092;"44807";"05911000";"Bochum";;null;6
137093;"44809";"05911000";"Bochum";;null;6
137106;"44866";"05911000";"Bochum";;null;6
137107;"44867";"05911000";"Bochum";;null;6
137108;"44869";"05911000";"Bochum";;null;6
