ID;PLZ;REGSCHL;ORT;ORTSTEIL;STAND
11620;"32457";"05770032";"Porta Westfalica";"Kleinenbremen";
11621;"32457";"05770032";"Porta Westfalica";"Lerbeck";
11622;"32457";"05770032";"Porta Westfalica";"Lohfeld";
11623;"32457";"05770032";"Porta Westfalica";"Möllbergen";
11624;"32457";"05770032";"Porta Westfalica";"Nammen";
11625;"32457";"05770032";"Porta Westfalica";"Neesen";
11626;"32457";"05770032";"Porta Westfalica";"Veltheim";
11627;"32457";"05770032";"Porta Westfalica";"Vennebeck";
11628;"32457";"05770032";"Porta Westfalica";"Wülpke";
11568;"32469";"05770028";"Petershagen";"Bierde";
11569;"32469";"05770028";"Petershagen";"Buchholz";
11570;"32469";"05770028";"Petershagen";"Döhren";
11571;"32469";"05770028";"Petershagen";"Eldagsen";
11572;"32469";"05770028";"Petershagen";"Friedewalde";
11573;"32469";"05770028";"Petershagen";"Frille";
11597;"32469";"05770028";"Petershagen";"Gem Meerbeck";
11574;"32469";"05770028";"Petershagen";"Gorspen-Vahlsen";
11575;"32469";"05770028";"Petershagen";"Großenheerse";
11576;"32469";"05770028";"Petershagen";"Heimsen";
11577;"32469";"05770028";"Petershagen";"Hävern";
11578;"32469";"05770028";"Petershagen";"Ilse";
11579;"32469";"05770028";"Petershagen";"Ilserheide";
11580;"32469";"05770028";"Petershagen";"Ilvese";
11581;"32469";"05770028";"Petershagen";"Jössen";
11582;"32469";"05770028";"Petershagen";"Lahde";
11583;"32469";"05770028";"Petershagen";"Maaslingen";
11584;"32469";"05770028";"Petershagen";"Meßlingen";
11585;"32469";"05770028";"Petershagen";"Neuenknick";
11586;"32469";"05770028";"Petershagen";"Ovenstädt";
11587;"32469";"05770028";"Petershagen";"Petershagen";
11588;"32469";"05770028";"Petershagen";"Quetzen";
11589;"32469";"05770028";"Petershagen";"Raderhorst";
11590;"32469";"05770028";"Petershagen";"Rosenhagen";
11591;"32469";"05770028";"Petershagen";"Schlüsselburg";
11592;"32469";"05770028";"Petershagen";"Seelenfeld";
11593;"32469";"05770028";"Petershagen";"Südfelde";
11594;"32469";"05770028";"Petershagen";"Wasserstraße";
11595;"32469";"05770028";"Petershagen";"Wietersheim";
11596;"32469";"05770028";"Petershagen";"Windheim";
9244;"32479";"05770012";"Hille";"Eickhorst";
9245;"32479";"05770012";"Hille";"Hartum";
9246;"32479";"05770012";"Hille";"Hille";
9253;"32479";"05770012";"Hille";"Holzhausen";
9247;"32479";"05770012";"Hille";"Holzhausen II";
9248;"32479";"05770012";"Hille";"Nordhemmern";
9249;"32479";"05770012";"Hille";"Oberlübbe";
9250;"32479";"05770012";"Hille";"Rothenuffeln";
9251;"32479";"05770012";"Hille";"Südhemmern";
9252;"32479";"05770012";"Hille";"Unterlübbe";
6920;"32545";"05770004";"Bad Oeynhausen";"Innenstadt";
6923;"32545";"05770004";"Bad Oeynhausen";"Lohe";
6921;"32547";"05770004";"Bad Oeynhausen";"Innenstadt";
6924;"32547";"05770004";"Bad Oeynhausen";"Lohe";
6925;"32547";"05770004";"Bad Oeynhausen";"Rehme";
6918;"32549";"05770004";"Bad Oeynhausen";"Dehme";
6919;"32549";"05770004";"Bad Oeynhausen";"Eidinghausen";
6922;"32549";"05770004";"Bad Oeynhausen";"Innenstadt";
6926;"32549";"05770004";"Bad Oeynhausen";"Volmerdingsen";
6927;"32549";"05770004";"Bad Oeynhausen";"Werste";
6928;"32549";"05770004";"Bad Oeynhausen";"Wulferdingsen";
10272;"32584";"05758024";"Löhne";"Gohfeld";
10273;"32584";"05758024";"Löhne";"Löhne";
10274;"32584";"05758024";"Löhne";"Mennighüffen";
10275;"32584";"05758024";"Löhne";"Obernbeck";
10276;"32584";"05758024";"Löhne";"Ulenburg";
12655;"32602";"05758036";"Vlotho";"Exter";
12656;"32602";"05758036";"Vlotho";"Uffeln";
12657;"32602";"05758036";"Vlotho";"Valdorf";
