Datum;Tabelle
"03.02.2009 10:59:46";"Abgangsart"
"03.02.2009 11:00:04";"Abgangsart"
"03.02.2009 11:00:56";"Abgangsart"
"03.02.2009 11:02:13";"Abgangsart"
"03.02.2009 11:02:25";"Abgangsart"
"03.02.2009 11:02:59";"Abgangsart"
"03.02.2009 11:03:12";"Abgangsart"
"03.02.2009 11:03:58";"Abgangsart"
"03.02.2009 11:05:35";"Abgangsart"
"03.02.2009 11:25:36";"Abgangsart"
"03.02.2009 11:26:18";"Abgangsart"
"03.02.2009 11:26:56";"Abgangsart"
"03.02.2009 11:33:26";"Abgangsart"
"03.02.2009 11:34:11";"Abgangsart"
"03.02.2009 11:34:11";"Abgangsart"
"03.02.2009 11:34:12";"Abgangsart"
"03.02.2009 11:34:12";"Abgangsart"
"03.02.2009 11:34:12";"Abgangsart"
"03.02.2009 11:34:12";"Abgangsart"
"03.02.2009 11:34:12";"Abgangsart"
"03.02.2009 11:34:13";"Abgangsart"
"03.02.2009 11:34:13";"Abgangsart"
"03.02.2009 11:34:13";"Abgangsart"
"03.02.2009 11:34:13";"Abgangsart"
"03.02.2009 11:34:13";"Abgangsart"
"03.02.2009 11:34:14";"Abgangsart"
"03.02.2009 11:34:14";"Abgangsart"
"03.02.2009 11:34:14";"Abgangsart"
"03.02.2009 11:34:14";"Abgangsart"
"03.02.2009 11:34:14";"Abgangsart"
"03.02.2009 11:34:14";"Abgangsart"
"03.02.2009 11:34:15";"Abgangsart"
"03.02.2009 11:34:15";"Abgangsart"
"03.02.2009 11:34:15";"Abgangsart"
"03.02.2009 11:34:15";"Abgangsart"
"03.02.2009 11:34:15";"Abgangsart"
"03.02.2009 11:34:16";"Abgangsart"
"03.02.2009 11:34:16";"Abgangsart"
"03.02.2009 11:34:16";"Abgangsart"
"03.02.2009 11:34:16";"Abgangsart"
"03.02.2009 11:34:16";"Abgangsart"
"03.02.2009 11:34:17";"Abgangsart"
"03.02.2009 11:34:17";"Abgangsart"
"03.02.2009 11:34:17";"Abgangsart"
"03.02.2009 11:34:17";"Abgangsart"
"03.02.2009 11:34:17";"Abgangsart"
"03.02.2009 11:34:18";"Abgangsart"
"03.02.2009 11:34:18";"Abgangsart"
"03.02.2009 11:34:18";"Abgangsart"
"03.02.2009 11:34:18";"Abgangsart"
"03.02.2009 11:34:18";"Abgangsart"
"03.02.2009 11:34:19";"Abgangsart"
"03.02.2009 11:34:19";"Abgangsart"
"03.02.2009 11:34:19";"Abgangsart"
"03.02.2009 11:34:19";"Abgangsart"
"03.02.2009 11:34:19";"Abgangsart"
"03.02.2009 11:34:19";"Abgangsart"
"03.02.2009 11:34:20";"Abgangsart"
"03.02.2009 11:34:20";"Abgangsart"
"03.02.2009 11:34:20";"Abgangsart"
"03.02.2009 11:34:20";"Abgangsart"
"03.02.2009 11:34:20";"Abgangsart"
"03.02.2009 11:34:21";"Abgangsart"
"03.02.2009 11:34:21";"Abgangsart"
"03.02.2009 11:34:21";"Abgangsart"
"03.02.2009 11:34:21";"Abgangsart"
"03.02.2009 11:34:21";"Abgangsart"
"03.02.2009 11:34:22";"Abgangsart"
"03.02.2009 11:34:22";"Abgangsart"
"03.02.2009 11:34:22";"Abgangsart"
"03.02.2009 11:34:22";"Abgangsart"
"03.02.2009 11:34:22";"Abgangsart"
"03.02.2009 11:34:23";"Abgangsart"
"03.02.2009 11:34:23";"Abgangsart"
"03.02.2009 11:34:23";"Abgangsart"
"03.02.2009 11:34:23";"Abgangsart"
"03.02.2009 11:34:23";"Abgangsart"
"03.02.2009 11:34:24";"Abgangsart"
"03.02.2009 11:34:24";"Abgangsart"
"03.02.2009 11:34:24";"Abgangsart"
"03.02.2009 11:34:24";"Abgangsart"
"03.02.2009 11:34:24";"Abgangsart"
"03.02.2009 11:34:24";"Abgangsart"
"03.02.2009 11:34:25";"Abgangsart"
"03.02.2009 11:34:25";"Abgangsart"
"03.02.2009 11:34:25";"Abgangsart"
"03.02.2009 11:34:25";"Abgangsart"
"03.02.2009 11:34:33";"Abgangsart"
"03.02.2009 11:34:35";"Abgangsart"
"03.02.2009 11:34:37";"Abgangsart"
"03.02.2009 11:34:39";"Abgangsart"
"03.02.2009 11:34:45";"Abgangsart"
"03.02.2009 11:34:47";"Abgangsart"
"03.02.2009 11:34:49";"Abgangsart"
"03.02.2009 11:34:51";"Abgangsart"
"03.02.2009 11:34:52";"Abgangsart"
"03.02.2009 11:34:54";"Abgangsart"
"03.02.2009 11:35:00";"Abgangsart"
"03.02.2009 11:35:02";"Abgangsart"
"03.02.2009 11:35:04";"Abgangsart"
"03.02.2009 11:35:07";"Abgangsart"
"03.02.2009 11:35:08";"Abgangsart"
"03.02.2009 11:35:10";"Abgangsart"
"03.02.2009 11:35:18";"Abgangsart"
"03.02.2009 11:35:20";"Abgangsart"
"03.02.2009 11:35:22";"Abgangsart"
"03.02.2009 11:35:23";"Abgangsart"
"03.02.2009 11:35:25";"Abgangsart"
"03.02.2009 11:35:28";"Abgangsart"
"03.02.2009 11:35:33";"Abgangsart"
"03.02.2009 11:35:35";"Abgangsart"
"03.02.2009 11:35:37";"Abgangsart"
"03.02.2009 11:35:39";"Abgangsart"
"03.02.2009 11:35:40";"Abgangsart"
"03.02.2009 11:35:42";"Abgangsart"
"03.02.2009 11:35:48";"Abgangsart"
"03.02.2009 11:35:50";"Abgangsart"
"03.02.2009 11:35:52";"Abgangsart"
"03.02.2009 11:35:54";"Abgangsart"
"03.02.2009 11:35:56";"Abgangsart"
"03.02.2009 11:35:58";"Abgangsart"
"03.02.2009 11:36:05";"Abgangsart"
"03.02.2009 11:36:07";"Abgangsart"
"03.02.2009 11:36:08";"Abgangsart"
"03.02.2009 11:36:10";"Abgangsart"
"03.02.2009 11:36:11";"Abgangsart"
"03.02.2009 11:36:14";"Abgangsart"
"03.02.2009 11:36:20";"Abgangsart"
"03.02.2009 11:36:22";"Abgangsart"
"03.02.2009 11:36:26";"Abgangsart"
"03.02.2009 11:36:27";"Abgangsart"
"03.02.2009 11:36:29";"Abgangsart"
"03.02.2009 11:36:32";"Abgangsart"
"03.02.2009 11:36:38";"Abgangsart"
"03.02.2009 11:36:39";"Abgangsart"
"03.02.2009 11:36:42";"Abgangsart"
"03.02.2009 11:36:44";"Abgangsart"
"03.02.2009 11:36:46";"Abgangsart"
"03.02.2009 11:36:51";"Abgangsart"
"03.02.2009 11:36:59";"Abgangsart"
"03.02.2009 11:37:00";"Abgangsart"
"03.02.2009 11:37:07";"Abgangsart"
"03.02.2009 11:38:10";"Abgangsart"
"03.02.2009 11:38:20";"Abgangsart"
"03.02.2009 11:38:37";"Abgangsart"
"03.02.2009 11:38:40";"Abgangsart"
"03.02.2009 11:38:44";"Abgangsart"
"03.02.2009 11:38:45";"Abgangsart"
"03.02.2009 11:38:47";"Abgangsart"
"03.02.2009 11:38:53";"Abgangsart"
"03.02.2009 11:38:55";"Abgangsart"
"03.02.2009 11:38:57";"Abgangsart"
"03.02.2009 11:38:59";"Abgangsart"
"03.02.2009 11:39:01";"Abgangsart"
"03.02.2009 11:39:09";"Abgangsart"
"03.03.2015 12:36:10";"Gliederung"
"03.03.2015 15:30:34";"Nationalitäten"
"03.04.2009 09:08:38";"Herkunftsart"
"03.04.2009 09:08:40";"Herkunftsart"
"03.04.2009 09:08:50";"Herkunftsart"
"03.04.2009 09:09:14";"Herkunftsart"
"03.04.2009 09:19:13";"Herkunftsart"
"03.04.2009 09:19:14";"Herkunftsart"
"03.04.2009 09:19:16";"Herkunftsart"
"03.04.2009 09:19:19";"Herkunftsart"
"03.04.2009 09:19:25";"Herkunftsart"
"03.04.2009 09:19:30";"Herkunftsart"
"03.04.2009 09:19:36";"Herkunftsart"
"03.04.2009 09:19:46";"Herkunftsart"
"03.04.2014 08:58:51";"Fachklasse"
"03.04.2014 13:30:40";"ZulFächer"
"03.04.2014 13:32:18";"SchuelerErsteSchulformSekI"
"03.04.2014 16:32:27";"Abgangsart"
"03.04.2018 11:01:06";"LehrerLehrbefaehigung"
"03.04.2018 14:10:09";"LehrerAnrechnung"
"03.04.2018 17:20:12";"ZulFächer"
"03.04.2020 14:47:27";"Fachklasse"
"03.04.2020 15:26:40";"ZulFächer"
"03.05.2018 14:57:04";"Abgangsart"
"03.05.2020 16:34:57";"Fachklasse"
"03.06.2016 12:49:36";"ZulJahrgänge_Kurzbez"
"03.06.2019 10:55:34";"Fachklasse"
"03.06.2020 11:47:34";"ZulFächer"
